Building L0 for 31 day(s) under data/L0
[L0] day=2026-01-01 raw=14516337 base_segs=7702 rows=7702 out=L0/year=2026/month=01/day=2026-01-01.parquet total_s=37.517
[L0] day=2026-01-02 raw=14282506 base_segs=9754 rows=9754 out=L0/year=2026/month=01/day=2026-01-02.parquet total_s=38.839
[L0] day=2026-01-03 raw=14176614 base_segs=10079 rows=10079 out=L0/year=2026/month=01/day=2026-01-03.parquet total_s=37.844
[L0] day=2026-01-04 raw=14931095 base_segs=10210 rows=10210 out=L0/year=2026/month=01/day=2026-01-04.parquet total_s=39.670
[L0] day=2026-01-05 raw=15276377 base_segs=11744 rows=11744 out=L0/year=2026/month=01/day=2026-01-05.parquet total_s=40.775
[L0] day=2026-01-06 raw=15343848 base_segs=12020 rows=12020 out=L0/year=2026/month=01/day=2026-01-06.parquet total_s=41.036
[L0] day=2026-01-07 raw=15018256 base_segs=10537 rows=10537 out=L0/year=2026/month=01/day=2026-01-07.parquet total_s=40.463
[L0] day=2026-01-08 raw=15563767 base_segs=11138 rows=11138 out=L0/year=2026/month=01/day=2026-01-08.parquet total_s=42.798
[L0] day=2026-01-09 raw=15042136 base_segs=10057 rows=10057 out=L0/year=2026/month=01/day=2026-01-09.parquet total_s=42.248
[L0] day=2026-01-10 raw=15035211 base_segs=12238 rows=12238 out=L0/year=2026/month=01/day=2026-01-10.parquet total_s=42.385
[L0] day=2026-01-11 raw=17148764 base_segs=16927 rows=16927 out=L0/year=2026/month=01/day=2026-01-11.parquet total_s=46.186
[L0] day=2026-01-12 raw=16507554 base_segs=12676 rows=12676 out=L0/year=2026/month=01/day=2026-01-12.parquet total_s=43.357
[L0] day=2026-01-13 raw=15092869 base_segs=11207 rows=11207 out=L0/year=2026/month=01/day=2026-01-13.parquet total_s=41.155
[L0] day=2026-01-14 raw=16639247 base_segs=12260 rows=12260 out=L0/year=2026/month=01/day=2026-01-14.parquet total_s=45.358
[L0] day=2026-01-15 raw=16773395 base_segs=12492 rows=12492 out=L0/year=2026/month=01/day=2026-01-15.parquet total_s=44.554
[L0] day=2026-01-16 raw=16186904 base_segs=12079 rows=12079 out=L0/year=2026/month=01/day=2026-01-16.parquet total_s=43.257
[L0] day=2026-01-17 raw=16818505 base_segs=14138 rows=14138 out=L0/year=2026/month=01/day=2026-01-17.parquet total_s=45.379
[L0] day=2026-01-18 raw=16353998 base_segs=15322 rows=15322 out=L0/year=2026/month=01/day=2026-01-18.parquet total_s=44.794
[L0] day=2026-01-19 raw=16737852 base_segs=16910 rows=16910 out=L0/year=2026/month=01/day=2026-01-19.parquet total_s=47.470
[L0] day=2026-01-20 raw=17630815 base_segs=20136 rows=20136 out=L0/year=2026/month=01/day=2026-01-20.parquet total_s=50.085
[L0] day=2026-01-21 raw=17230631 base_segs=17706 rows=17706 out=L0/year=2026/month=01/day=2026-01-21.parquet total_s=48.518
[L0] day=2026-01-22 raw=15329437 base_segs=11675 rows=11675 out=L0/year=2026/month=01/day=2026-01-22.parquet total_s=44.281
[L0] day=2026-01-23 raw=15067228 base_segs=12073 rows=12073 out=L0/year=2026/month=01/day=2026-01-23.parquet total_s=43.134
[L0] day=2026-01-24 raw=15200424 base_segs=10457 rows=10457 out=L0/year=2026/month=01/day=2026-01-24.parquet total_s=42.431
[L0] day=2026-01-25 raw=15681521 base_segs=12512 rows=12512 out=L0/year=2026/month=01/day=2026-01-25.parquet total_s=45.347
[L0] day=2026-01-26 raw=15071507 base_segs=12120 rows=12120 out=L0/year=2026/month=01/day=2026-01-26.parquet total_s=43.285
[L0] day=2026-01-27 raw=15177071 base_segs=11611 rows=11611 out=L0/year=2026/month=01/day=2026-01-27.parquet total_s=45.364
[L0] day=2026-01-28 raw=14935907 base_segs=11412 rows=11412 out=L0/year=2026/month=01/day=2026-01-28.parquet total_s=42.905
[L0] day=2026-01-29 raw=15651605 base_segs=11858 rows=11858 out=L0/year=2026/month=01/day=2026-01-29.parquet total_s=44.408
[L0] day=2026-01-30 raw=15453854 base_segs=10863 rows=10863 out=L0/year=2026/month=01/day=2026-01-30.parquet total_s=44.694
[L0] day=2026-01-31 raw=15437845 base_segs=9800 rows=9800 out=L0/year=2026/month=01/day=2026-01-31.parquet total_s=44.134
