### [09:12:46] build L2 daily @ 50km (tile=1000, matches original tile)
Building L2 for 2026-01 from L0=data/L0 → data/layouts_daily
  L2: 376 candidate region cells × 31 day(s) (granularity=daily)
  L2 [1/376] region=(-22,96) rows=1
  L2 [2/376] region=(-21,93) rows=1
  L2 [3/376] region=(-17,119) rows=1
  L2 [4/376] region=(-14,100) rows=1
  L2 [5/376] region=(-14,107) rows=1
  L2 [6/376] region=(-13,104) rows=1
  L2 [7/376] region=(-11,110) rows=1
  L2 [8/376] region=(-11,127) rows=1
  L2 [9/376] region=(-10,119) rows=1
  L2 [10/376] region=(-9,115) rows=1
  L2 [11/376] region=(-9,127) rows=2
  L2 [12/376] region=(-8,116) rows=1
  L2 [13/376] region=(-6,116) rows=1
  L2 [14/376] region=(-5,110) rows=1
  L2 [15/376] region=(-3,114) rows=4
  L2 [16/376] region=(-2,114) rows=3
  L2 [17/376] region=(-2,119) rows=1
  L2 [18/376] region=(-2,120) rows=2
  L2 [19/376] region=(-2,121) rows=66
  L2 [20/376] region=(-2,122) rows=29
  L2 [21/376] region=(-2,125) rows=9
  L2 [22/376] region=(-2,126) rows=3
  L2 [23/376] region=(-1,113) rows=1
  L2 [24/376] region=(-1,114) rows=2
  L2 [25/376] region=(-1,115) rows=1
  L2 [27/376] region=(-1,122) rows=1
  L2 [30/376] region=(-1,127) rows=320
  L2 [31/376] region=(-1,128) rows=334
  L2 [32/376] region=(0,114) rows=2
  L2 [33/376] region=(0,121) rows=82
  L2 [35/376] region=(0,123) rows=49
  L2 [36/376] region=(0,124) rows=19
  L2 [41/376] region=(1,115) rows=1
  L2 [43/376] region=(1,122) rows=4
  L2 [44/376] region=(1,123) rows=24
  L2 [45/376] region=(1,124) rows=9
  L2 [49/376] region=(2,114) rows=1
  L2 [50/376] region=(2,115) rows=1
  L2 [51/376] region=(2,116) rows=1
  L2 [52/376] region=(2,121) rows=2
  L2 [53/376] region=(2,122) rows=20
  L2 [54/376] region=(2,123) rows=147
  L2 [55/376] region=(2,124) rows=287
  L2 [56/376] region=(2,125) rows=23
  L2 [59/376] region=(3,114) rows=1
  L2 [60/376] region=(3,116) rows=1
  L2 [61/376] region=(3,121) rows=31
  L2 [62/376] region=(3,122) rows=120
  L2 [63/376] region=(3,123) rows=1569
  L2 [64/376] region=(3,124) rows=11203
  L2 [65/376] region=(3,125) rows=6804
  L2 [66/376] region=(3,126) rows=26
  L2 [69/376] region=(4,117) rows=1
  L2 [70/376] region=(4,118) rows=1
  L2 [71/376] region=(4,119) rows=1
  L2 [72/376] region=(4,120) rows=13
  L2 [73/376] region=(4,121) rows=85
  L2 [74/376] region=(4,122) rows=5056
  L2 [75/376] region=(4,123) rows=21345
  L2 [76/376] region=(4,124) rows=18487
  L2 [77/376] region=(4,125) rows=12145
  L2 [78/376] region=(4,126) rows=618
  L2 [79/376] region=(4,127) rows=1
  L2 [81/376] region=(5,118) rows=6
  L2 [82/376] region=(5,119) rows=126
  L2 [83/376] region=(5,120) rows=173
  L2 [84/376] region=(5,121) rows=1278
  L2 [85/376] region=(5,122) rows=27890
  L2 [86/376] region=(5,123) rows=21875
  L2 [87/376] region=(5,124) rows=9150
  L2 [88/376] region=(5,125) rows=6208
  L2 [89/376] region=(5,126) rows=665
  L2 [90/376] region=(5,127) rows=113
  L2 [91/376] region=(6,118) rows=26
  L2 [92/376] region=(6,119) rows=1231
  L2 [93/376] region=(6,120) rows=1872
  L2 [94/376] region=(6,121) rows=756
  L2 [95/376] region=(6,122) rows=8897
  L2 [96/376] region=(6,123) rows=17283
  L2 [97/376] region=(6,124) rows=6881
  L2 [98/376] region=(6,125) rows=1487
  L2 [99/376] region=(6,126) rows=171
  L2 [100/376] region=(6,127) rows=37
  L2 [101/376] region=(6,128) rows=8
  L2 [102/376] region=(7,111) rows=4
  L2 [103/376] region=(7,118) rows=42
  L2 [104/376] region=(7,119) rows=4312
  L2 [105/376] region=(7,120) rows=10415
  L2 [106/376] region=(7,121) rows=3681
  L2 [107/376] region=(7,122) rows=15612
  L2 [108/376] region=(7,123) rows=29929
  L2 [109/376] region=(7,124) rows=33959
  L2 [110/376] region=(7,125) rows=23363
  L2 [111/376] region=(7,126) rows=6751
  L2 [112/376] region=(7,127) rows=412
  L2 [113/376] region=(7,128) rows=57
  L2 [114/376] region=(8,118) rows=831
  L2 [115/376] region=(8,119) rows=16135
  L2 [116/376] region=(8,120) rows=15338
  L2 [117/376] region=(8,121) rows=13544
  L2 [118/376] region=(8,122) rows=38182
  L2 [119/376] region=(8,123) rows=23647
  L2 [120/376] region=(8,124) rows=37467
  L2 [121/376] region=(8,125) rows=105095
  L2 [122/376] region=(8,126) rows=144177
  L2 [123/376] region=(8,127) rows=39402
  L2 [124/376] region=(8,128) rows=1716
