Building L2 for 2026-01 from L0=data/L0 → data/layouts/L2_t1000_r100000
  L2: 140 candidate region cells
  L2 [1/140] region=(-11,46) rows=1
  L2 [2/140] region=(-11,48) rows=1
  L2 [3/140] region=(-9,59) rows=1
  L2 [4/140] region=(-7,50) rows=1
  L2 [5/140] region=(-7,52) rows=1
  L2 [6/140] region=(-7,53) rows=1
  L2 [7/140] region=(-6,55) rows=1
  L2 [8/140] region=(-6,63) rows=1
  L2 [9/140] region=(-5,57) rows=1
  L2 [10/140] region=(-5,59) rows=1
  L2 [11/140] region=(-5,63) rows=2
  L2 [12/140] region=(-4,58) rows=1
  L2 [13/140] region=(-3,55) rows=1
  L2 [14/140] region=(-3,58) rows=1
  L2 [15/140] region=(-2,57) rows=4
  L2 [16/140] region=(-1,56) rows=1
  L2 [17/140] region=(-1,57) rows=6
  L2 [18/140] region=(-1,59) rows=1
  L2 [19/140] region=(-1,60) rows=172
  L2 [20/140] region=(-1,61) rows=82
  L2 [21/140] region=(-1,62) rows=62
  L2 [22/140] region=(-1,63) rows=376
  L2 [23/140] region=(-1,64) rows=334
  L2 [24/140] region=(0,57) rows=3
  L2 [25/140] region=(0,60) rows=183
  L2 [26/140] region=(0,61) rows=128
  L2 [27/140] region=(0,62) rows=78
  L2 [30/140] region=(1,57) rows=3
  L2 [31/140] region=(1,58) rows=2
  L2 [32/140] region=(1,60) rows=33
  L2 [33/140] region=(1,61) rows=1907
  L2 [34/140] region=(1,62) rows=18312
  L2 [35/140] region=(1,63) rows=26
  L2 [37/140] region=(2,58) rows=1
  L2 [38/140] region=(2,59) rows=134
  L2 [39/140] region=(2,60) rows=1549
  L2 [40/140] region=(2,61) rows=76129
  L2 [41/140] region=(2,62) rows=45990
  L2 [42/140] region=(2,63) rows=1397
  L2 [44/140] region=(3,55) rows=4
  L2 [45/140] region=(3,59) rows=5611
  L2 [46/140] region=(3,60) rows=16724
  L2 [47/140] region=(3,61) rows=71711
  L2 [48/140] region=(3,62) rows=65690
  L2 [49/140] region=(3,63) rows=7371
  L2 [50/140] region=(3,64) rows=65
  L2 [51/140] region=(4,58) rows=13
  L2 [52/140] region=(4,59) rows=41268
  L2 [53/140] region=(4,60) rows=68708
  L2 [54/140] region=(4,61) rows=115113
  L2 [55/140] region=(4,62) rows=158967
  L2 [56/140] region=(4,63) rows=440918
  L2 [57/140] region=(4,64) rows=38129
  L2 [58/140] region=(5,53) rows=47
  L2 [62/140] region=(5,57) rows=1
  L2 [64/140] region=(5,59) rows=26498
  L2 [65/140] region=(5,60) rows=210848
  L2 [66/140] region=(5,61) rows=104099
  L2 [67/140] region=(5,62) rows=59051
  L2 [68/140] region=(5,63) rows=242293
  L2 [69/140] region=(5,64) rows=381895
  L2 [70/140] region=(5,65) rows=5486
  L2 [71/140] region=(5,66) rows=85
  L2 [72/140] region=(6,57) rows=24
  L2 [73/140] region=(6,58) rows=2
  L2 [74/140] region=(6,59) rows=10311
  L2 [75/140] region=(6,60) rows=648879
  L2 [76/140] region=(6,61) rows=297587
  L2 [77/140] region=(6,62) rows=460918
  L2 [78/140] region=(6,63) rows=755994
  L2 [79/140] region=(6,64) rows=205272
  L2 [80/140] region=(6,65) rows=580
  L2 [84/140] region=(7,59) rows=474
  L2 [85/140] region=(7,60) rows=532154
  L2 [86/140] region=(7,61) rows=397117
  L2 [87/140] region=(7,62) rows=223036
  L2 [88/140] region=(7,63) rows=3732
  L2 [89/140] region=(7,64) rows=64
  L2 [90/140] region=(7,65) rows=86
  L2 [91/140] region=(8,50) rows=101
  L2 [97/140] region=(8,56) rows=20
  L2 [100/140] region=(8,59) rows=4786
  L2 [101/140] region=(8,60) rows=141610
  L2 [102/140] region=(8,61) rows=586546
  L2 [103/140] region=(8,62) rows=14474
  L2 [105/140] region=(8,64) rows=8
  L2 [106/140] region=(9,60) rows=51907
  L2 [107/140] region=(9,61) rows=136506
  L2 [108/140] region=(9,62) rows=36192
  L2 [109/140] region=(9,63) rows=621
  L2 [110/140] region=(9,64) rows=120
  L2 [111/140] region=(9,65) rows=294
  L2 [112/140] region=(10,60) rows=336
  L2 [113/140] region=(10,61) rows=6983
  L2 [114/140] region=(10,62) rows=6338
  L2 [115/140] region=(10,63) rows=2594
  L2 [116/140] region=(10,64) rows=1464
  L2 [117/140] region=(10,65) rows=519
  L2 [118/140] region=(10,66) rows=63
  L2 [119/140] region=(10,67) rows=17
  L2 [120/140] region=(11,60) rows=1103
  L2 [121/140] region=(11,61) rows=2113
  L2 [122/140] region=(11,62) rows=1325
  L2 [123/140] region=(11,63) rows=757
  L2 [124/140] region=(11,64) rows=1621
  L2 [125/140] region=(11,65) rows=122
  L2 [126/140] region=(11,66) rows=17
  L2 [127/140] region=(11,67) rows=27
  L2 [128/140] region=(12,61) rows=83
  L2 [129/140] region=(12,62) rows=458
  L2 [130/140] region=(12,63) rows=26
  L2 [131/140] region=(12,64) rows=78
  L2 [132/140] region=(12,65) rows=70
  L2 [133/140] region=(12,66) rows=192
  L2 [134/140] region=(12,67) rows=11
  L2 [135/140] region=(13,64) rows=2
  L2 [136/140] region=(13,66) rows=59
  L2 [137/140] region=(13,67) rows=81
  L2 [140/140] region=(16,64) rows=72
[L2] 2026-01 base_rows=381713 rows=6743469 out=data/layouts/L2_t1000_r100000/L2/year=2026/month=01 total_s=2162.215
