Building L4 for 2026-01 from L0=data/L0 → data/layouts/L4_t1h_daily
  L4: 24 hours (granularity=daily)
  L4 day=2026-01-01 hour=0 rows=1572
  L4 day=2026-01-01 hour=1 rows=180
  L4 day=2026-01-01 hour=2 rows=182
  L4 day=2026-01-01 hour=3 rows=161
  L4 day=2026-01-01 hour=4 rows=170
  L4 day=2026-01-01 hour=5 rows=213
  L4 day=2026-01-01 hour=6 rows=497
  L4 day=2026-01-01 hour=7 rows=262
  L4 day=2026-01-01 hour=8 rows=305
  L4 day=2026-01-01 hour=9 rows=301
  L4 day=2026-01-01 hour=10 rows=347
  L4 day=2026-01-01 hour=11 rows=311
  L4 day=2026-01-01 hour=12 rows=628
  L4 day=2026-01-01 hour=13 rows=345
  L4 day=2026-01-01 hour=14 rows=351
  L4 day=2026-01-01 hour=15 rows=326
  L4 day=2026-01-01 hour=16 rows=350
  L4 day=2026-01-01 hour=17 rows=320
  L4 day=2026-01-01 hour=18 rows=593
  L4 day=2026-01-01 hour=19 rows=289
  L4 day=2026-01-01 hour=20 rows=248
  L4 day=2026-01-01 hour=21 rows=232
  L4 day=2026-01-01 hour=22 rows=186
  L4 day=2026-01-01 hour=23 rows=159
  L4 day=2026-01-02 hour=0 rows=1545
  L4 day=2026-01-02 hour=1 rows=138
  L4 day=2026-01-02 hour=2 rows=163
  L4 day=2026-01-02 hour=3 rows=190
  L4 day=2026-01-02 hour=4 rows=294
  L4 day=2026-01-02 hour=5 rows=344
  L4 day=2026-01-02 hour=6 rows=676
  L4 day=2026-01-02 hour=7 rows=443
  L4 day=2026-01-02 hour=8 rows=447
  L4 day=2026-01-02 hour=9 rows=503
  L4 day=2026-01-02 hour=10 rows=508
  L4 day=2026-01-02 hour=11 rows=471
  L4 day=2026-01-02 hour=12 rows=776
  L4 day=2026-01-02 hour=13 rows=469
  L4 day=2026-01-02 hour=14 rows=462
  L4 day=2026-01-02 hour=15 rows=426
  L4 day=2026-01-02 hour=16 rows=395
  L4 day=2026-01-02 hour=17 rows=384
  L4 day=2026-01-02 hour=18 rows=647
  L4 day=2026-01-02 hour=19 rows=324
  L4 day=2026-01-02 hour=20 rows=289
  L4 day=2026-01-02 hour=21 rows=284
  L4 day=2026-01-02 hour=22 rows=262
  L4 day=2026-01-02 hour=23 rows=190
  L4 day=2026-01-03 hour=0 rows=1560
  L4 day=2026-01-03 hour=1 rows=191
  L4 day=2026-01-03 hour=2 rows=210
  L4 day=2026-01-03 hour=3 rows=250
  L4 day=2026-01-03 hour=4 rows=257
  L4 day=2026-01-03 hour=5 rows=311
  L4 day=2026-01-03 hour=6 rows=647
  L4 day=2026-01-03 hour=7 rows=464
  L4 day=2026-01-03 hour=8 rows=507
  L4 day=2026-01-03 hour=9 rows=465
  L4 day=2026-01-03 hour=10 rows=555
  L4 day=2026-01-03 hour=11 rows=514
  L4 day=2026-01-03 hour=12 rows=849
  L4 day=2026-01-03 hour=13 rows=489
  L4 day=2026-01-03 hour=14 rows=506
  L4 day=2026-01-03 hour=15 rows=443
  L4 day=2026-01-03 hour=16 rows=454
  L4 day=2026-01-03 hour=17 rows=372
  L4 day=2026-01-03 hour=18 rows=708
  L4 day=2026-01-03 hour=19 rows=325
  L4 day=2026-01-03 hour=20 rows=299
  L4 day=2026-01-03 hour=21 rows=266
  L4 day=2026-01-03 hour=22 rows=239
  L4 day=2026-01-03 hour=23 rows=183
  L4 day=2026-01-04 hour=0 rows=1573
  L4 day=2026-01-04 hour=1 rows=185
  L4 day=2026-01-04 hour=2 rows=194
  L4 day=2026-01-04 hour=3 rows=223
  L4 day=2026-01-04 hour=4 rows=264
  L4 day=2026-01-04 hour=5 rows=327
  L4 day=2026-01-04 hour=6 rows=703
  L4 day=2026-01-04 hour=7 rows=406
  L4 day=2026-01-04 hour=8 rows=478
  L4 day=2026-01-04 hour=9 rows=564
  L4 day=2026-01-04 hour=10 rows=563
  L4 day=2026-01-04 hour=11 rows=509
  L4 day=2026-01-04 hour=12 rows=912
  L4 day=2026-01-04 hour=13 rows=532
  L4 day=2026-01-04 hour=14 rows=514
  L4 day=2026-01-04 hour=15 rows=452
  L4 day=2026-01-04 hour=16 rows=429
  L4 day=2026-01-04 hour=17 rows=452
  L4 day=2026-01-04 hour=18 rows=744
  L4 day=2026-01-04 hour=19 rows=304
  L4 day=2026-01-04 hour=20 rows=290
  L4 day=2026-01-04 hour=21 rows=278
  L4 day=2026-01-04 hour=22 rows=249
  L4 day=2026-01-04 hour=23 rows=205
  L4 day=2026-01-05 hour=0 rows=1580
  L4 day=2026-01-05 hour=1 rows=198
  L4 day=2026-01-05 hour=2 rows=202
  L4 day=2026-01-05 hour=3 rows=262
  L4 day=2026-01-05 hour=4 rows=363
  L4 day=2026-01-05 hour=5 rows=512
  L4 day=2026-01-05 hour=6 rows=980
  L4 day=2026-01-05 hour=7 rows=616
  L4 day=2026-01-05 hour=8 rows=575
  L4 day=2026-01-05 hour=9 rows=566
  L4 day=2026-01-05 hour=10 rows=587
  L4 day=2026-01-05 hour=11 rows=558
  L4 day=2026-01-05 hour=12 rows=1046
  L4 day=2026-01-05 hour=13 rows=557
  L4 day=2026-01-05 hour=14 rows=549
  L4 day=2026-01-05 hour=15 rows=535
  L4 day=2026-01-05 hour=16 rows=503
  L4 day=2026-01-05 hour=17 rows=474
  L4 day=2026-01-05 hour=18 rows=835
  L4 day=2026-01-05 hour=19 rows=376
  L4 day=2026-01-05 hour=20 rows=335
  L4 day=2026-01-05 hour=21 rows=332
  L4 day=2026-01-05 hour=22 rows=279
  L4 day=2026-01-05 hour=23 rows=252
  L4 day=2026-01-06 hour=0 rows=1611
  L4 day=2026-01-06 hour=1 rows=229
  L4 day=2026-01-06 hour=2 rows=254
  L4 day=2026-01-06 hour=3 rows=259
  L4 day=2026-01-06 hour=4 rows=358
  L4 day=2026-01-06 hour=5 rows=465
  L4 day=2026-01-06 hour=6 rows=1016
  L4 day=2026-01-06 hour=7 rows=546
  L4 day=2026-01-06 hour=8 rows=611
  L4 day=2026-01-06 hour=9 rows=617
  L4 day=2026-01-06 hour=10 rows=687
  L4 day=2026-01-06 hour=11 rows=575
  L4 day=2026-01-06 hour=12 rows=1039
  L4 day=2026-01-06 hour=13 rows=584
  L4 day=2026-01-06 hour=14 rows=564
  L4 day=2026-01-06 hour=15 rows=600
  L4 day=2026-01-06 hour=16 rows=496
  L4 day=2026-01-06 hour=17 rows=531
  L4 day=2026-01-06 hour=18 rows=826
  L4 day=2026-01-06 hour=19 rows=360
  L4 day=2026-01-06 hour=20 rows=411
  L4 day=2026-01-06 hour=21 rows=309
  L4 day=2026-01-06 hour=22 rows=268
  L4 day=2026-01-06 hour=23 rows=184
  L4 day=2026-01-07 hour=0 rows=1498
  L4 day=2026-01-07 hour=1 rows=225
  L4 day=2026-01-07 hour=2 rows=208
  L4 day=2026-01-07 hour=3 rows=210
  L4 day=2026-01-07 hour=4 rows=316
  L4 day=2026-01-07 hour=5 rows=381
  L4 day=2026-01-07 hour=6 rows=853
  L4 day=2026-01-07 hour=7 rows=617
  L4 day=2026-01-07 hour=8 rows=511
  L4 day=2026-01-07 hour=9 rows=489
  L4 day=2026-01-07 hour=10 rows=488
  L4 day=2026-01-07 hour=11 rows=481
  L4 day=2026-01-07 hour=12 rows=842
  L4 day=2026-01-07 hour=13 rows=498
  L4 day=2026-01-07 hour=14 rows=539
  L4 day=2026-01-07 hour=15 rows=451
  L4 day=2026-01-07 hour=16 rows=423
  L4 day=2026-01-07 hour=17 rows=412
  L4 day=2026-01-07 hour=18 rows=779
  L4 day=2026-01-07 hour=19 rows=370
  L4 day=2026-01-07 hour=20 rows=316
  L4 day=2026-01-07 hour=21 rows=308
  L4 day=2026-01-07 hour=22 rows=252
  L4 day=2026-01-07 hour=23 rows=208
  L4 day=2026-01-08 hour=0 rows=1579
  L4 day=2026-01-08 hour=1 rows=208
  L4 day=2026-01-08 hour=2 rows=210
  L4 day=2026-01-08 hour=3 rows=244
  L4 day=2026-01-08 hour=4 rows=329
  L4 day=2026-01-08 hour=5 rows=435
  L4 day=2026-01-08 hour=6 rows=961
  L4 day=2026-01-08 hour=7 rows=496
  L4 day=2026-01-08 hour=8 rows=599
  L4 day=2026-01-08 hour=9 rows=524
  L4 day=2026-01-08 hour=10 rows=527
  L4 day=2026-01-08 hour=11 rows=513
  L4 day=2026-01-08 hour=12 rows=932
  L4 day=2026-01-08 hour=13 rows=495
