query,layout,selectivity,files_total,files_opened,files_pct,answer,runtime_s
bounding_box,L0,hour,31,1,3.2,4.76,0.334
clip_to_region,L0,hour,31,1,3.2,28.0,0.315
collision,L0,hour,31,1,3.2,69.0,0.358
encounter_zone,L0,hour,31,1,3.2,88.0,0.359
fleet_summary,L0,hour,31,1,3.2,41.3,0.331
nearest_approach,L0,hour,31,1,3.2,11.0,0.365
position_interpolation,L0,hour,31,1,3.2,18.0,0.328
speed_profile,L0,hour,31,1,3.2,1.5,0.335
bounding_box,L0,day,31,2,6.5,62.69,0.764
clip_to_region,L0,day,31,2,6.5,115.0,0.538
collision,L0,day,31,2,6.5,163.0,1.487
encounter_zone,L0,day,31,2,6.5,194.0,1.583
fleet_summary,L0,day,31,2,6.5,2840.5,0.747
nearest_approach,L0,day,31,2,6.5,0.0,1.743
position_interpolation,L0,day,31,2,6.5,29.0,0.572
speed_profile,L0,day,31,2,6.5,35.9,0.766
bounding_box,L0,week,31,8,25.8,79.09,3.891
clip_to_region,L0,week,31,8,25.8,622.0,2.161
collision,L0,week,31,8,25.8,264.0,10.991
encounter_zone,L0,week,31,8,25.8,343.0,12.181
fleet_summary,L0,week,31,8,25.8,21860.0,3.623
nearest_approach,L0,week,31,8,25.8,0.0,13.337
position_interpolation,L0,week,31,8,25.8,26.0,2.114
speed_profile,L0,week,31,8,25.8,39.7,3.738
bounding_box,L1_daily,hour,496,16,3.2,4.76,0.215
clip_to_region,L1_daily,hour,496,16,3.2,28.0,0.187
collision,L1_daily,hour,496,16,3.2,69.0,0.243
encounter_zone,L1_daily,hour,496,16,3.2,88.0,0.251
fleet_summary,L1_daily,hour,496,16,3.2,41.3,0.207
nearest_approach,L1_daily,hour,496,16,3.2,11.0,0.238
position_interpolation,L1_daily,hour,496,16,3.2,18.0,0.197
speed_profile,L1_daily,hour,496,16,3.2,1.5,0.2
bounding_box,L1_daily,day,496,32,6.5,62.69,0.709
clip_to_region,L1_daily,day,496,32,6.5,115.0,0.45
collision,L1_daily,day,496,32,6.5,163.0,1.607
encounter_zone,L1_daily,day,496,32,6.5,194.0,1.539
fleet_summary,L1_daily,day,496,32,6.5,2840.5,0.627
nearest_approach,L1_daily,day,496,32,6.5,0.0,1.782
position_interpolation,L1_daily,day,496,32,6.5,29.0,0.46
speed_profile,L1_daily,day,496,32,6.5,35.9,0.643
bounding_box,L1_daily,week,496,128,25.8,79.09,3.729
clip_to_region,L1_daily,week,496,128,25.8,622.0,2.031
collision,L1_daily,week,496,128,25.8,264.0,11.121
encounter_zone,L1_daily,week,496,128,25.8,343.0,11.887
fleet_summary,L1_daily,week,496,128,25.8,21860.0,3.478
nearest_approach,L1_daily,week,496,128,25.8,0.0,13.431
position_interpolation,L1_daily,week,496,128,25.8,26.0,2.051
speed_profile,L1_daily,week,496,128,25.8,39.7,3.66
bounding_box,L2_daily,hour,4154,5,0.1,0.03,0.09
clip_to_region,L2_daily,hour,4154,5,0.1,27.0,0.079
collision,L2_daily,hour,4154,5,0.1,60.0,0.107
encounter_zone,L2_daily,hour,4154,5,0.1,75.0,0.108
fleet_summary,L2_daily,hour,4154,5,0.1,6.3,0.09
nearest_approach,L2_daily,hour,4154,5,0.1,11.0,0.115
position_interpolation,L2_daily,hour,4154,5,0.1,17.0,0.089
speed_profile,L2_daily,hour,4154,5,0.1,1.4,0.089
bounding_box,L2_daily,day,4154,12,0.3,60.22,0.24
clip_to_region,L2_daily,day,4154,12,0.3,113.0,0.149
collision,L2_daily,day,4154,12,0.3,163.0,0.769
encounter_zone,L2_daily,day,4154,12,0.3,193.0,0.92
fleet_summary,L2_daily,day,4154,12,0.3,2756.6,0.239
nearest_approach,L2_daily,day,4154,12,0.3,0.0,1.008
position_interpolation,L2_daily,day,4154,12,0.3,29.0,0.182
speed_profile,L2_daily,day,4154,12,0.3,34.7,0.251
bounding_box,L2_daily,week,4154,51,1.2,79.1,1.565
clip_to_region,L2_daily,week,4154,51,1.2,620.0,0.644
collision,L2_daily,week,4154,51,1.2,263.0,7.589
encounter_zone,L2_daily,week,4154,51,1.2,342.0,8.178
fleet_summary,L2_daily,week,4154,51,1.2,21721.0,1.231
nearest_approach,L2_daily,week,4154,51,1.2,0.0,15.598
position_interpolation,L2_daily,week,4154,51,1.2,26.0,0.662
speed_profile,L2_daily,week,4154,51,1.2,39.6,1.349
bounding_box,L3_daily,hour,4133,5,0.1,0.01,0.085
clip_to_region,L3_daily,hour,4133,5,0.1,27.0,0.074
collision,L3_daily,hour,4133,5,0.1,59.0,0.1
encounter_zone,L3_daily,hour,4133,5,0.1,74.0,0.102
fleet_summary,L3_daily,hour,4133,5,0.1,4.4,0.085
nearest_approach,L3_daily,hour,4133,5,0.1,12.0,0.108
position_interpolation,L3_daily,hour,4133,5,0.1,17.0,0.084
speed_profile,L3_daily,hour,4133,5,0.1,1.4,0.089
bounding_box,L3_daily,day,4133,12,0.3,60.76,0.237
clip_to_region,L3_daily,day,4133,12,0.3,112.0,0.143
collision,L3_daily,day,4133,12,0.3,162.0,0.767
encounter_zone,L3_daily,day,4133,12,0.3,193.0,0.912
fleet_summary,L3_daily,day,4133,12,0.3,2632.3,0.232
nearest_approach,L3_daily,day,4133,12,0.3,0.0,1.093
position_interpolation,L3_daily,day,4133,12,0.3,28.0,0.17
speed_profile,L3_daily,day,4133,12,0.3,35.3,0.231
bounding_box,L3_daily,week,4133,51,1.2,79.03,1.226
clip_to_region,L3_daily,week,4133,51,1.2,620.0,0.61
collision,L3_daily,week,4133,51,1.2,263.0,8.612
encounter_zone,L3_daily,week,4133,51,1.2,342.0,10.429
fleet_summary,L3_daily,week,4133,51,1.2,20754.2,1.14
nearest_approach,L3_daily,week,4133,51,1.2,0.0,21.417
position_interpolation,L3_daily,week,4133,51,1.2,25.0,0.635
speed_profile,L3_daily,week,4133,51,1.2,39.0,1.361
bounding_box,L4_daily,hour,744,9,1.2,4.76,0.127
clip_to_region,L4_daily,hour,744,9,1.2,28.0,0.112
collision,L4_daily,hour,744,9,1.2,69.0,0.144
encounter_zone,L4_daily,hour,744,9,1.2,88.0,0.14
fleet_summary,L4_daily,hour,744,9,1.2,41.3,0.121
nearest_approach,L4_daily,hour,744,9,1.2,11.0,0.154
position_interpolation,L4_daily,hour,744,9,1.2,18.0,0.121
speed_profile,L4_daily,hour,744,9,1.2,1.5,0.121
bounding_box,L4_daily,day,744,32,4.3,62.69,0.326
clip_to_region,L4_daily,day,744,32,4.3,115.0,0.216
collision,L4_daily,day,744,32,4.3,163.0,0.961
encounter_zone,L4_daily,day,744,32,4.3,194.0,0.943
fleet_summary,L4_daily,day,744,32,4.3,2840.4,0.317
nearest_approach,L4_daily,day,744,32,4.3,0.0,1.231
position_interpolation,L4_daily,day,744,32,4.3,29.0,0.225
speed_profile,L4_daily,day,744,32,4.3,35.9,0.338
bounding_box,L4_daily,week,744,176,23.7,79.09,1.707
clip_to_region,L4_daily,week,744,176,23.7,622.0,1.245
collision,L4_daily,week,744,176,23.7,264.0,8.27
encounter_zone,L4_daily,week,744,176,23.7,343.0,8.722
fleet_summary,L4_daily,week,744,176,23.7,21859.9,1.524
