system,layout,gran,query,selectivity,span,files_total,files_read,files_pct,n_iters,runtime_trimmed_s,runtime_median_s,runtime_min_s,answer
duckdb_iceberg_rest,L0,daily,q57,hour,1 hour,31,2,6.5,3,0.364,0.364,0.364,4
duckdb_iceberg_rest,L0,daily,q58,hour,1 hour,31,1,3.2,3,0.457,0.457,0.457,56
duckdb_iceberg_rest,L0,daily,q59,hour,1 hour,31,1,3.2,3,0.337,0.337,0.337,28
duckdb_iceberg_rest,L0,daily,q510,hour,1 hour,31,1,3.2,3,0.316,0.316,0.316,88
duckdb_iceberg_rest,L0,daily,q511,hour,1 hour,31,1,3.2,3,0.331,0.331,0.331,69
duckdb_iceberg_rest,L0,daily,q57,day,1 day,31,4,12.9,3,0.77,0.77,0.77,4
duckdb_iceberg_rest,L0,daily,q58,day,1 day,31,2,6.5,3,0.916,0.916,0.916,99
duckdb_iceberg_rest,L0,daily,q59,day,1 day,31,2,6.5,3,0.853,0.853,0.853,115
duckdb_iceberg_rest,L0,daily,q510,day,1 day,31,2,6.5,3,0.835,0.835,0.835,194
duckdb_iceberg_rest,L0,daily,q511,day,1 day,31,2,6.5,3,0.857,0.857,0.857,163
duckdb_iceberg_rest,L0,daily,q57,week,1 week,31,16,51.6,3,3.264,3.264,3.264,4
duckdb_iceberg_rest,L0,daily,q58,week,1 week,31,8,25.8,3,3.831,3.831,3.831,165
duckdb_iceberg_rest,L0,daily,q59,week,1 week,31,8,25.8,3,4.941,4.941,4.941,622
duckdb_iceberg_rest,L0,daily,q510,week,1 week,31,8,25.8,3,4.278,4.278,4.278,343
duckdb_iceberg_rest,L0,daily,q511,week,1 week,31,8,25.8,3,4.74,4.74,4.74,264
duckdb_iceberg_rest,L1,daily,q57,hour,1 hour,496,32,6.5,3,0.464,0.464,0.464,4
duckdb_iceberg_rest,L1,daily,q58,hour,1 hour,496,16,3.2,3,0.334,0.334,0.334,56
duckdb_iceberg_rest,L1,daily,q59,hour,1 hour,496,16,3.2,3,0.186,0.186,0.186,28
duckdb_iceberg_rest,L1,daily,q510,hour,1 hour,496,16,3.2,3,0.165,0.165,0.165,88
duckdb_iceberg_rest,L1,daily,q511,hour,1 hour,496,16,3.2,3,0.169,0.169,0.169,69
duckdb_iceberg_rest,L1,daily,q57,day,1 day,496,64,12.9,3,0.766,0.766,0.766,4
duckdb_iceberg_rest,L1,daily,q58,day,1 day,496,32,6.5,3,0.791,0.791,0.791,99
duckdb_iceberg_rest,L1,daily,q59,day,1 day,496,32,6.5,3,0.826,0.826,0.826,115
duckdb_iceberg_rest,L1,daily,q510,day,1 day,496,32,6.5,3,0.659,0.659,0.659,194
duckdb_iceberg_rest,L1,daily,q511,day,1 day,496,32,6.5,3,0.706,0.706,0.706,163
duckdb_iceberg_rest,L1,daily,q57,week,1 week,496,256,51.6,3,3.374,3.374,3.374,4
duckdb_iceberg_rest,L1,daily,q58,week,1 week,496,128,25.8,3,3.789,3.789,3.789,165
duckdb_iceberg_rest,L1,daily,q59,week,1 week,496,128,25.8,3,5.321,5.321,5.321,622
duckdb_iceberg_rest,L1,daily,q510,week,1 week,496,128,25.8,3,4.233,4.233,4.233,343
duckdb_iceberg_rest,L1,daily,q511,week,1 week,496,128,25.8,3,4.257,4.257,4.257,264
duckdb_iceberg_rest,L2,daily,q57,hour,1 hour,4154,4,0.1,3,0.198,0.198,0.198,2
